AÑO;MES;PARTIDA;NOMBRE_PARTIDA;CAPITULO;NOMBRE_CAPITULO;REGION_DESTINO;NOMBRE_REGION;PROVINCIA_DESTINO;NOMBRE_PROVINCIA;COMUNA_DESTINO;NOMBRE_COMUNA;MONEDA;CODIGO_BIP;NOMBRE_PROYECTO;MONTO_IDENTIFICADO;MONTO_DEVENGADO
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;4;REGIÓN DE COQUIMBO;1;PROVINCIA DE ELQUI;1;La Serena;Pesos;30128193-0;REPOSICION CENTRO JUDICIAL DE LA SERENA;0;4.314.478.443
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;6;REGIÓN DEL LIBERTADOR GENERAL BERNARDO OHIGGINS;1;PROVINCIA DE CACHAPOAL;1;Rancagua;Pesos;30098362-0;CONSTRUCCION EDIFICIO TRIBUNALES FAMILIA, CIVILES Y LABORAL RANCAGUA;0;123.007.645
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;8;REGIÓN DEL BIO BIO;1;PROVINCIA DE CONCEPCIÓN;11;Tomé;Pesos;30107370-0;CONSTRUCCION CENTRO JUDICIAL DE TOME;0;1.787.699.641
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;9;REGIÓN DE LA ARAUCANIA;1;PROVINCIA DE CAUTIN;1;Temuco;Pesos;30113065-0;HABILITACION TRIBUNAL DE FAMILIA, CIVILES 1,2,3 Y LABORAL DE TEMUCO;0;2.697.246.713
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;10;REGIÓN DE LOS LAGOS;3;PROVINCIA DE OSORNO;1;Osorno;Pesos;30308732-0;REPOSICION TRIBUNAL GARANTIA Y TOP DE OSORNO;0;90.722.107
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;13;REGIÓN METROPOLITANA DE SANTIAGO;1;PROVINCIA DE SANTIAGO;1;Santiago;Pesos;30350836-0;CONSERVACION PALACIO TRIBUNALES SANTIAGO;0;4.185.017
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;13;REGIÓN METROPOLITANA DE SANTIAGO;1;PROVINCIA DE SANTIAGO;30;San Miguel;Pesos;30060318-0;CONSTRUCCION CORTE DE APELACIONES DE SAN MIGUEL;0;220.622.416
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;13;REGIÓN METROPOLITANA DE SANTIAGO;1;PROVINCIA DE SANTIAGO;30;San Miguel;Pesos;30075309-0;REPOSICION TRIBUNALES DE FAMILIA  SAN MIGUEL;0;6.112.681
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;16;REGIÓN DE ÑUBLE;1;PROVINCIA DE DIGUILLÍN;1;Chillán;Pesos;30316322-0;CONSTRUCCION CENTRO JUDICIAL DE CHILLAN;0;1.202.081.060
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;16;REGIÓN DE ÑUBLE;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30128023-0;CONSERVACION VIVIENDAS JUDICIALES;0;2.779.840
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;16;REGIÓN DE ÑUBLE;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;40006877-0;CONSERVACION JUZGADOS DEL PODER JUDICIAL;0;150.286.348
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;98;Interregional;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30408372-0;NORMALIZACION Y AMPLIACION JUZGADOS DEL PODER JUDICIAL;0;11.853.631
2020;5;3;Poder Judicial;3;Corporacion Administrativa del Poder Judicial;98;Interregional;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;40003356-0;AMPLIACION Y REMODELACION JUZGADOS, LEY N 21.017 (110 JUECES) ETAPA II.;0;17.103.263
2020;5;5;Ministerio del Interior;2;Servicio de Gobierno Interior;12;REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;4;PROVINCIA DE ULTIMA ESPERANZA;Sin registro;Sin registro;Pesos;30467599-0;REPOSICION COMPLEJO FRONTERIZO RIO DON GUILLERMO;0;90.000.000
2020;5;5;Ministerio del Interior;2;Servicio de Gobierno Interior;15;REGIÓN DE ARICA Y PARINACOTA;2;PROVINCIA DE PARINACOTA;Sin registro;Sin registro;Pesos;30037232-0;CONSTRUCCION COMPLEJO FRONTERIZO CHUNGARA, PROVINCIA DE PARINACOTA;0;286.086.489
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;2;REGIÓN DE ANTOFAGASTA;2;PROVINCIA DE EL LOA;2;Ollagüe;Pesos;30153222-0;REPOSICION CON RELOCALIZACION TENENCIA OLLAGUE F;0;79.739.153
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;4;REGIÓN DE COQUIMBO;3;PROVINCIA DE LIMARI;1;Ovalle;Pesos;30415525-0;AMPLIACION ESCUELA FORMACION DE CARABINEROS, GRUPO OVALLE;0;1.589.834.522
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;5;REGIÓN DE VALPARAISO;1;PROVINCIA DE VALPARAÍSO;9;Viña del Mar;Pesos;30412728-0;REPOSICION PARCIAL ESC.FORMACION CARABINEROS, GRUPO VIÑA DEL MAR;0;706.583.074
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;5;REGIÓN DE VALPARAISO;7;PROVINCIA DE SAN FELIPE DE ACONCAGUA;1;San Felipe;Pesos;30104953-0;REPOSICION DE LA PREFECTURA ACONCAGUA Y LA 2 COMISARIA SAN FELIPE;0;295.885.920
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;5;REGIÓN DE VALPARAISO;8;PROVINCIA DE MARGA MARGA;2;Limache;Pesos;30104659-0;REPOSICION DE LA 3 COMISARIA LIMACHE COMO IMPLEMENTACION DEL PCSP;0;4.017.520
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;6;REGIÓN DEL LIBERTADOR GENERAL BERNARDO OHIGGINS;1;PROVINCIA DE CACHAPOAL;7;Las Cabras;Pesos;30104779-0;REPOSICION CON RELOCALIZACION TENENCIA EL MANZANO SISMO 2010;0;92.342.091
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;6;REGIÓN DEL LIBERTADOR GENERAL BERNARDO OHIGGINS;1;PROVINCIA DE CACHAPOAL;15;Rengo;Pesos;30088270-0;REPOSICION DE LA 4 COMISARIA RENGO COMO IMPLEMENTACION DEL PCSP;0;140.471.985
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;7;REGIÓN DEL MAULE;2;PROVINCIA DE CAUQUENES;1;Cauquenes;Pesos;30104682-0;REPOSICION 4 COMISARIA CAUQUENES COMO IMPLEMENTACION DEL PCSP;0;763.657.492
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;7;REGIÓN DEL MAULE;4;PROVINCIA DE LINARES;6;San Javier;Pesos;30104633-0;AMPLIACION 5 COMISARIA SAN JAVIER, BAJO PCSP;0;4.097.965
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;8;REGIÓN DEL BIO BIO;2;PROVINCIA DE ARAUCO;2;Arauco;Pesos;30104577-0;REPOSICION CON RELOCALIZACION DE LA 1 COM. ARAUCO, BAJO PCSP;0;561.662.721
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;12;REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;4;PROVINCIA DE ULTIMA ESPERANZA;1;Natales;Pesos;30130936-0;REPOSICION 2 COM. PTO. NATALES COMO IMPLEMENTACION PCSP NATALES;0;21.015.000
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;13;REGIÓN METROPOLITANA DE SANTIAGO;1;PROVINCIA DE SANTIAGO;18;Macul;Pesos;30104173-0;REPOSICION ESCUELA DE SUBOFICIALES S O M FABRICIANO GONZALEZ URZUA;0;193.337.646
2020;5;5;Ministerio del Interior;31;Carabineros de Chile;13;REGIÓN METROPOLITANA DE SANTIAGO;1;PROVINCIA DE SANTIAGO;23;Providencia;Pesos;30469945-0;CONSTRUCCION COMISARIA PROVIDENCIA SUR, PROVIDENCIA;0;13.050.000
2020;5;5;Ministerio del Interior;33;Policia de Investigaciones de Chile;8;REGIÓN DEL BIO BIO;1;PROVINCIA DE CONCEPCIÓN;11;Tomé;Pesos;30101757-0;REPOSICION CUARTEL POLICIAL PDI TOME;0;1.100.884.440
2020;5;5;Ministerio del Interior;33;Policia de Investigaciones de Chile;13;REGIÓN METROPOLITANA DE SANTIAGO;1;PROVINCIA DE SANTIAGO;3;Cerro Navia;Pesos;30482950-0;CONSTRUCCION COMPLEJO PDI CENTRO NORTE CERRO NAVIA;0;16.530.000
2020;5;5;Ministerio del Interior;33;Policia de Investigaciones de Chile;13;REGIÓN METROPOLITANA DE SANTIAGO;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30101754-0;CONSTRUCCION LABORATORIO DE CRIMINALISTICA CENTRAL PDI;0;2.219.060.853
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;1;PROVINCIA DE IQUIQUE;1;Iquique;Pesos;30080833-0;MEJORAMIENTO ACCESIBILIDAD Y CONECTIVIDAD EN LA CIUDAD DE IQUIQUE;0;2.470.000
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;1;PROVINCIA DE IQUIQUE;1;Iquique;Pesos;30121131-0;RESTAURACION IGLESIA SAN ANTONIO DE PADUA Y CONVENTO FRANCISCANO;0;18.360.000
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;1;PROVINCIA DE IQUIQUE;1;Iquique;Pesos;30345873-0;CONSERVACION ACERAS Y SOLERAS EN COMUNA DE IQUIQUE, SECTOR SUR;0;22.413.851
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;1;PROVINCIA DE IQUIQUE;1;Iquique;Pesos;30346224-0;CONSERVACION ACERAS Y SOLERAS COMUNA IQUIQUE, SECTOR NORTE, ETAPA I;0;3.661.181
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;1;PROVINCIA DE IQUIQUE;1;Iquique;Pesos;30463053-0;CONSTRUCCION ALCANTARILLADO CALETA CHANAVAYITA, IQUIQUE;0;103.071.338
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;1;PROVINCIA DE IQUIQUE;7;Alto Hospicio;Pesos;30482631-0;SANEAMIENTO CONTROL DE PLAGAS SECTOR EL BORO, ALTO HOSPICIO;0;95.612.002
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;1;PROVINCIA DE IQUIQUE;7;Alto Hospicio;Pesos;40000942-0;CONSTRUCCION SISTEMA DE CAMARAS DE TELEVIGILANCIA MUNICIPAL COMUNA DE ALTO HOSPICIO;0;1.777.778
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;4;PROVINCIA DE TAMARUGAL;1;Pozo Almonte;Pesos;30480574-0;MEJORAMIENTO DEPENDENCIAS MUNICIPALES POZO ALMONTE.;0;15.705.447
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;4;PROVINCIA DE TAMARUGAL;3;Colchane;Pesos;30482839-0;REPOSICION ALUMBRADO PUBLICO CON TECNOLOGIA LED COMUNA DE COLCHANE;0;9.400.000
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;4;PROVINCIA DE TAMARUGAL;4;Huara;Pesos;30483228-0;CONSTRUCCION RED ELECTRICA VARIAS LOCALIDADES DE LA COMUNA DE HUARA;0;4.222.222
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;4;PROVINCIA DE TAMARUGAL;4;Huara;Pesos;40017378-0;CONSERVACION RED VIAL OBRAS DE EMERGENCIA RUTA A475  S ARIQUILDA  S C RUTA A457;0;1.092.544.643
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30136110-0;REPOSICION ESTADIO TIERRA DE CAMPEONES, IQUIQUE;0;79.436.663
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30226723-0;REPOSICION PAVIMENTOS POR CAMBIO DE REDES SECTOR STA.TERESA,A.HOSP;0;13.139.935
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30391222-0;REPOSICION SEDE SOCIAL PARA LA LOCALIDAD DE POROMA,COMUNA DE HUARA;0;6.400.000
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30427226-0;CONSERVACION EDIF. INTENDENCIA REGIONAL Y GOB. REGIONAL DE TARAPACA;0;20.476.211
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30476992-0;CONSERVACION INFRAESTRUCTURA INSTITUTO TELETON DE IQUIQUE;0;48.695.051
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;30485762-0;CAPACITACION TENENCIA RESPONSABLE DE MASCOTAS, REGION DE TARAPACA;0;16.782.801
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;40002657-0;CONSTRUCCION CENTRO COMUNITARIO COMUNA DE IQUIQUE;0;76.347.170
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;40003275-0;RESTAURACION EDIFICIO SOCIEDAD PROTECTORA DE EMPLEADOS DE TARAPACA, MHN;0;4.000.000
2020;5;5;Ministerio del Interior;61;Gobierno Regional Region I Tarapaca;1;REGIÓN DE TARAPACÁ;Sin registro;Sin registro;Sin registro;Sin registro;Pesos;40005138-0;CAPACITACION EN SEPARACION DE RESIDUOS SOLIDOS DOMICILIARIOS INORGANICOS, COMUNA;0;31.668.315
2020;5;5;Ministerio del Interior;62;Gobierno Regional Region II Antofagasta;2;REGIÓN DE ANTOFAGASTA;1;PROVINCIA DE ANTOFAGASTA;1;Antofagasta;Pesos;30485186-0;AMPLIACION AVDA.P.AGUIRRE CERDA TRAMO LOS TAMARUGOS-ROTONDA, AFTA;0;19.809.000
